,taxa,rate_genes1_median,rate_genes1_lower_CI,rate_genes1_upper_CI,core_mu_median,core_mu_lower_CI,core_mu_upper_CI,prop_genes2_median,prop_genes2_lower_CI,prop_genes2_upper_CI
1,pedobacter_sp005938645,1.10E-05,1.01E-05,0.01093744,1.30E-09,1.00E-09,3.08E-09,0.3231252,0.000119472,0.445314981
2,mycobacterium_chelonae,0.000498567,0.000202599,0.001146341,0.000145149,7.21E-05,0.0002768,0.283665926,0.168802556,0.390686423
3,citrobacter_portucalensis,0.000474947,0.000188913,0.001086011,0.000210981,0.000118253,0.000382698,0.358446265,0.251920947,0.46061259
4,staphylococcus_saprophyticus,0.000592396,0.000159191,0.001344942,6.55E-05,2.98E-05,0.000132972,0.211041356,0.110320057,0.303520906
5,staphylococcus_borealis,0.000439592,0.000211565,0.000856832,0.000170068,9.34E-05,0.000299165,0.319236865,0.233113586,0.408857804
6,streptococcus_equi,0.000920605,0.000519886,0.001481403,1.30E-05,7.11E-09,4.97E-05,0.017076851,0.000561041,0.075335979
7,burkholderia_sp002223185,0.000533843,0.000218926,0.001179375,0.000101407,4.96E-05,0.000216397,0.225470623,0.126434233,0.322881806
8,vibrio_splendidus,0.000491449,0.000194216,0.001152072,2.07E-07,1.33E-09,0.000482397,0.012834492,0.000476246,0.15941135
9,enterobacter_ludwigii,0.000449734,0.000192634,0.00093819,0.000156129,7.50E-05,0.000316637,0.227085248,0.159710292,0.296802762
10,campylobacter_d_lari_c,0.000367724,0.000145222,0.000813134,0.000199489,8.18E-05,0.000440946,0.308545864,0.15727367,0.453956073
11,borreliella_garinii,0.00063454,0.000174742,0.001488117,0.000209254,6.27E-05,0.000482082,0.212063533,0.034780994,0.375012965
12,stenotrophomonas_sepilia,0.000707142,0.000192339,0.001679271,0.000128478,6.80E-05,0.000245076,0.34495325,0.113901482,0.544943103
13,lactococcus_cremoris,0.000465225,0.000217271,0.000915595,2.34E-05,2.68E-08,6.94E-05,0.0417209,0.001401727,0.159793766
14,alistipes_onderdonkii,0.000248008,0.000121216,0.00046734,3.48E-09,1.04E-09,9.07E-08,0.011480876,0.000379558,0.043740612
15,escherichia_albertii,0.000669964,0.000203622,0.001532734,0.000145996,7.17E-05,0.000287829,0.229401366,0.14325301,0.315038634
16,vibrio_vulnificus,0.000461987,0.000205814,0.000938568,0.000177913,6.83E-05,0.000378236,0.233841549,0.104150276,0.34925263
17,lactobacillus_acidophilus,0.000219388,9.93E-05,0.000417366,4.64E-09,1.08E-09,1.01E-07,0.020917336,0.000902824,0.056093719
18,enterobacter_bugandensis,0.000722183,0.000176411,0.00190701,0.00018011,1.28E-08,0.000500094,0.322693637,0.013516162,0.54063011
19,citrobacter_a_rodentium,3.93E-05,1.11E-05,0.000219824,5.14E-09,1.08E-09,1.23E-07,0.515802254,0.002207591,0.59614302
20,campylobacter_d_concheus,0.000728554,0.000310634,0.001283205,9.34E-05,5.70E-05,0.000151176,0.131962971,0.02610141,0.240343042
21,rhizobium_rhizogenes,0.000951413,0.000238156,0.001884934,5.44E-05,2.05E-05,0.000125354,0.175581311,0.014296355,0.338219056
22,neisseria_polysaccharea,0.001955232,0.001012591,0.034163533,8.52E-05,3.22E-05,0.000816388,0.05228922,0.002026694,0.267262773
23,turicibacter_sanguinis,0.000294649,9.02E-05,0.000959229,4.36E-05,1.80E-05,8.72E-05,0.426638833,0.010727477,0.527173276
24,haemophilus_influenzae_e,0.000964267,0.000267765,0.00700177,0.000133619,5.84E-05,0.000356543,0.329137386,0.042510593,0.613328816
25,bifidobacterium_longum,0.000501295,0.000155567,0.001551023,9.09E-05,4.93E-05,0.000175964,0.348995903,0.124959714,0.503517225
26,stenotrophomonas_maltophilia_a,0.000516499,0.000190295,0.001320594,0.000181305,7.70E-05,0.000372669,0.387353795,0.218833068,0.51444598
27,burkholderia_stabilis,0.002230785,0.001259767,0.004000189,1.72E-07,1.38E-09,4.07E-06,0.033369397,0.00124732,0.147199934
28,mycobacterium_smegmatis,5.51E-05,1.82E-05,0.000177537,5.51E-08,1.29E-09,1.09E-06,0.016821747,0.000887126,0.04837982
29,bacillus_a_mobilis,0.002235875,0.000287486,0.082876516,2.66E-05,2.07E-09,0.000970572,0.059518549,0.002049848,0.738758704
30,clostridium_beijerinckii,0.090755771,3.79E-05,0.828078373,0.000179566,2.88E-05,0.000895402,0.516141059,0.037906974,0.980814439
31,stenotrophomonas_indicatrix,0.00048181,0.000183188,0.001092669,0.00018125,6.83E-05,0.000477091,0.357579716,0.20369593,0.508780014
32,chlamydophila_abortus,0.000586547,0.000347023,0.000940957,9.38E-06,3.85E-06,2.20E-05,0.025146488,0.001135608,0.093816965
33,bacillus_a_wiedmannii,0.00057812,0.000148442,0.001674298,3.91E-05,3.40E-09,0.000249756,0.17896606,0.002159074,0.419302995
34,streptococcus_suis,0.000435516,0.000156197,0.001380569,0.00011843,3.24E-05,0.000343995,0.296852106,0.019146355,0.479359761
35,legionella_fraseri,0.012903244,0.007876128,0.021986186,0.000127586,8.48E-05,0.000187402,0.020396566,0.000872447,0.090918801
36,bacteroides_thetaiotaomicron,0.000462479,0.000176011,0.001548466,9.47E-05,3.58E-05,0.000230858,0.453766225,0.24124434,0.599390347
37,actinobacillus_lignieresii,0.000523486,0.000222756,0.001227596,6.23E-06,2.19E-06,1.92E-05,0.021490901,0.000709979,0.089000341
38,mycoplasmopsis_a_anserisalpingitidis,0.000685261,0.000170934,0.001461447,0.000203476,0.000113968,0.000355481,0.243881478,0.097602789,0.378631531
39,deinococcus_radiodurans,3.58E-05,1.10E-05,0.000195708,4.63E-07,1.67E-09,2.24E-06,0.051109852,0.012990475,0.090673171
40,glaesserella_parasuis,0.001563015,0.000915863,0.002590333,0.000150588,8.23E-05,0.000268538,0.032290005,0.001141596,0.127697744
41,clostridium_f_sporogenes,0.000974963,0.000502609,0.001759161,3.57E-05,1.53E-05,7.20E-05,0.077245186,0.00452629,0.198951547
42,rhizobium_leguminosarum,0.000548172,0.000188246,0.001352331,0.000226477,8.79E-05,0.000490742,0.194853236,0.108569992,0.278615273
43,acinetobacter_baumannii,0.00059624,0.00020076,0.001501416,6.56E-05,2.16E-05,0.000194706,0.235932688,0.067260152,0.409507352
44,hafnia_paralvei,0.000718187,0.000296677,0.001399481,0.000121271,1.15E-08,0.000286883,0.214442223,0.004976821,0.317972806
45,pseudomonas_e_paracarnis,0.000482663,0.000223741,0.000944249,0.000131902,6.99E-05,0.000249517,0.286560893,0.207887581,0.363902559
46,yersinia_ruckeri,0.000467791,0.00019079,0.001210363,2.92E-05,1.63E-05,5.00E-05,0.179096137,0.074614241,0.259320438
47,escherichia_ruysiae,0.000364787,0.000148915,0.001236351,0.000146635,5.06E-06,0.00034372,0.346527952,0.019660527,0.463878485
48,thermus_thermophilus,0.000606579,0.000214519,0.001144603,2.82E-07,2.76E-09,7.15E-06,0.007403568,0.000267576,0.032971163
49,enterococcus_d_innesii,0.000565357,0.000171679,0.001407051,0.000132161,5.20E-05,0.00032179,0.271871909,0.114806305,0.41193353
50,streptococcus_pseudopneumoniae,0.000634844,0.000169743,0.001836789,0.000117541,4.29E-05,0.000274007,0.396661365,0.04318809,0.635028453
51,lactobacillus_johnsonii,0.001752542,0.000409572,0.005755927,8.84E-05,5.30E-05,0.000150902,0.256347232,0.007992653,0.515812176
52,sphingomonas_sp024072375,0.000485351,0.000196379,0.001044936,0.000155565,5.75E-05,0.000374797,0.211737757,0.128528117,0.287699299
53,citrobacter_a_amalonaticus,0.000460599,0.000175241,0.001057748,0.000100137,4.77E-05,0.000211706,0.224853588,0.143446956,0.300733258
54,cronobacter_sakazakii,0.001173417,0.000644782,0.001944404,7.54E-06,1.20E-06,3.08E-05,0.074750276,0.0054374,0.189357798
55,staphylococcus_delphini,0.000697158,0.000288132,0.001299751,7.07E-05,3.14E-05,0.000186171,0.116887912,0.010890907,0.242168378
56,bacillus_a_mycoides,0.00043675,0.000191971,0.00168317,0.000131869,4.34E-05,0.000307517,0.355096443,0.017349578,0.514086803
57,sphingomonas_sp001421535,0.000440742,0.000167901,0.001073697,3.29E-08,1.22E-09,7.04E-06,0.125813802,0.034403475,0.204125395
58,aeromonas_hydrophila,0.000919841,0.000537161,0.001449286,7.51E-06,3.44E-09,2.59E-05,0.016398023,0.000647454,0.065671809
59,enterococcus_e_cecorum,0.000528938,0.0001855,0.001627731,0.000111591,6.83E-05,0.000180629,0.462224103,0.228989358,0.603395517
60,enterobacter_cloacae,0.000455261,0.00019597,0.001128713,0.000207527,8.70E-05,0.000446717,0.336452339,0.221936345,0.448558896
61,vibrio_fluvialis,0.000441958,0.0001828,0.000968291,0.000183771,8.87E-05,0.000374025,0.236694848,0.093525365,0.352412712
62,stenotrophomonas_maltophilia_f,0.000431719,0.0001519,0.00115733,0.000115848,6.05E-05,0.000222907,0.418041135,0.301102775,0.532895203
63,staphylococcus_argenteus,0.000851593,0.000462657,0.00151068,1.49E-06,2.49E-07,4.54E-06,0.019431694,0.000705646,0.075527016
64,ligilactobacillus_salivarius,0.000516914,0.00020056,0.001074634,0.000128905,7.22E-05,0.000227374,0.312464714,0.177047865,0.440493235
65,corynebacterium_diphtheriae,0.001009653,0.000359023,0.001933555,0.000146191,8.89E-05,0.000242841,0.223417657,0.053828197,0.403445301
66,sinorhizobium_medicae,0.00048352,0.000207616,0.001042958,8.43E-05,5.07E-05,0.000145226,0.180375976,0.119760777,0.238432998
67,aeromonas_veronii,0.000515486,0.000178872,0.001257014,0.000134319,4.04E-08,0.000454309,0.260516416,0.010903764,0.475692045
68,cutibacterium_acnes,0.000926785,0.000524236,0.001610738,4.41E-05,2.60E-05,7.28E-05,0.037980382,0.002040606,0.139277729
69,ralstonia_solanacearum,0.001498401,0.000668703,0.003421505,1.05E-07,1.51E-09,2.10E-06,0.019370694,0.000736075,0.086067707
70,pseudomonas_e_viridiflava,0.001172046,0.000150674,0.002851258,8.27E-05,2.99E-08,0.000912793,0.171638347,0.061923702,0.43815612
71,brachyspira_hyodysenteriae,0.000846779,0.000423239,0.001539974,6.00E-05,3.41E-05,0.000108255,0.069784762,0.003567733,0.246827218
72,sinorhizobium_meliloti,0.000516455,0.000200515,0.001153497,0.000150021,8.30E-05,0.000271259,0.313442203,0.220056531,0.408250838
73,photorhabdus_bodei,3.11E-05,1.22E-05,8.40E-05,3.24E-09,1.05E-09,5.33E-08,0.001815352,7.53E-05,0.007611455
74,limosilactobacillus_reuteri_e,0.000424055,0.000170764,0.000872206,0.000122807,7.70E-05,0.00019979,0.430738437,0.344557784,0.516125173
75,porphyromonas_gingivalis,0.00039954,0.000122159,0.001074692,0.000201186,7.90E-05,0.000498145,0.211646693,0.104457485,0.317889619
76,erwinia_tracheiphila,0.000616699,0.000163599,0.001856392,0.000112866,5.84E-07,0.000908462,0.367279196,0.090249595,0.423653101
77,leptospira_borgpetersenii,0.000462314,0.000167039,0.001258377,6.69E-05,2.59E-05,0.000299511,0.129475933,0.039796168,0.538312883
78,aliivibrio_fischeri,0.00354992,1.36E-05,0.759029676,9.06E-07,1.42E-09,0.000709439,0.491728722,0.023995329,0.974243745
79,klebsiella_aerogenes,0.000520046,0.000208784,0.001101059,0.000123235,5.75E-05,0.00024071,0.244300451,0.114906822,0.361739292
80,klebsiella_ornithinolytica,0.000432512,0.000160879,0.001011409,6.72E-05,3.39E-05,0.000130741,0.235601594,0.139710355,0.324438145
81,lactococcus_lactis,0.000488026,0.000211695,0.001032994,8.17E-05,4.41E-05,0.000145052,0.364288184,0.262973913,0.46044371
82,xanthomonas_oryzae,0.000536702,7.16E-05,0.00378061,3.07E-05,2.24E-09,0.000745061,0.164168483,0.007519839,0.620754836
83,stenotrophomonas_maltophilia_aj,0.000790968,0.000292529,0.001530682,0.000141618,1.83E-05,0.000315282,0.243197915,0.042164502,0.38416295
84,salmonella_diarizonae,0.000489772,0.000196679,0.001044988,6.89E-05,3.83E-05,0.000123747,0.235421061,0.138564858,0.329094555
85,enterococcus_b_durans,0.000935526,0.000213261,0.002165074,0.000182447,9.25E-05,0.000331061,0.260759571,0.109764636,0.388119735
86,serratia_entomophila,0.001336041,0.00038272,0.05434756,4.08E-05,3.06E-09,0.000704477,0.039198194,0.001520534,0.244758496
87,tatlockia_micdadei,0.000391295,2.19E-05,0.002023344,1.83E-05,8.40E-06,4.00E-05,0.446160724,0.266953157,0.575025677
88,mycoplasmopsis_bovis,0.001997467,0.001219523,0.003087173,9.29E-05,6.06E-05,0.000134949,0.043765842,0.001486532,0.204286707
89,streptococcus_pneumoniae,0.000652339,0.000218028,0.001314708,0.000114465,6.23E-05,0.000214298,0.176162171,0.061349027,0.285392115
90,citrobacter_b_koseri,0.000434187,0.000153495,0.001191009,0.000133556,4.78E-05,0.000303653,0.275774986,0.141357679,0.380905917
91,yersinia_enterocolitica,0.000804115,0.000260085,0.001695137,9.55E-05,4.50E-05,0.000197864,0.194978253,0.039321715,0.331177926
92,micromonospora_arenicola,0.00078782,0.000210621,0.001756971,0.000172759,8.11E-05,0.000363234,0.183685624,0.088972047,0.283560388
93,bifidobacterium_breve,0.000379196,0.000138982,0.0010385,0.000128448,7.17E-05,0.000243115,0.366431733,0.247298658,0.473408355
94,klebsiella_pneumoniae,0.000550585,0.000201575,0.001223958,9.42E-05,5.09E-05,0.000177922,0.296429693,0.209910653,0.381590375
95,neisseria_flavescens,0.000512616,0.000107605,0.045900446,0.000221268,6.40E-05,0.000887239,0.599714001,0.035195986,0.920831769
96,helicobacter_c_cinaedi,0.001792448,0.000364756,0.035978923,0.000130114,4.66E-05,0.000759874,0.273779444,0.016008299,0.58433982
97,acinetobacter_haemolyticus,0.000457092,0.00019931,0.001101001,0.000115638,6.86E-05,0.000184616,0.400850992,0.268206361,0.516719606
98,francisella_tularensis,0.000155317,1.47E-05,0.003866822,2.81E-06,1.09E-06,8.38E-06,0.122492632,0.011218394,0.272341556
99,sarcina_perfringens,0.000487146,0.000191674,0.001045908,0.000172813,8.47E-05,0.00033887,0.275991136,0.161878627,0.389659572
100,vibrio_owensii,0.000418725,0.00017825,0.000973688,3.81E-08,1.21E-09,3.24E-05,0.024312845,0.00085086,0.098970887
101,burkholderia_thailandensis,0.000834402,0.000151129,0.002937687,8.37E-05,1.45E-05,0.000561666,0.142518384,0.006835653,0.333403333
102,mycobacterium_intracellulare,0.000506912,0.000195164,0.001256817,0.000153835,7.03E-05,0.000299862,0.439853355,0.277532254,0.58676346
103,bacillus_subtilis,0.000799978,0.000293439,0.001560881,1.58E-05,2.43E-09,0.000185532,0.102606545,0.002829753,0.542738769
104,pasteurella_multocida,0.000477058,0.000136625,0.001769067,0.000113273,5.68E-05,0.000229094,0.323013319,0.167991555,0.462666106
105,paraclostridium_sordellii,0.000403361,0.000119935,0.001197231,0.000167707,1.48E-05,0.000560648,0.238817565,0.015474209,0.428339776
106,streptococcus_oralis,0.000496521,0.000140301,0.001372199,7.41E-06,1.71E-09,0.000707052,0.165397747,0.00789055,0.386641208
107,burkholderia_gladioli,0.000887769,0.000312852,0.001798815,0.000169729,9.09E-05,0.000306505,0.226003739,0.117712966,0.339839014
108,pseudomonas_e_juntendi,0.00051896,0.000183863,0.001261524,0.000168668,8.41E-05,0.000316929,0.33234714,0.254174784,0.410412107
109,vibrio_mimicus,0.000340591,0.000135213,0.000862921,0.000289639,0.000106775,0.000681007,0.438703776,0.278062066,0.574700592
110,streptococcus_agalactiae,0.000833312,0.000350518,0.001504061,9.39E-05,6.15E-05,0.000139536,0.283207634,0.166302761,0.397348498
111,metamycoplasma_hominis,0.000289125,8.61E-05,0.000964896,0.000169634,7.73E-05,0.000383113,0.405206403,0.289904417,0.516200973
112,serratia_nematodiphila,0.000716143,0.00020106,0.001732094,0.000187945,9.35E-05,0.000369945,0.378197898,0.148773576,0.562048069
113,pseudomonas_e_shahriarae,0.000397259,0.000196486,0.000804274,0.000141632,1.46E-07,0.000351891,0.37564676,0.001008766,0.500735998
114,listeria_monocytogenes,0.013142702,0.00090744,0.030566088,0.000154765,5.63E-05,0.000279113,0.078520569,0.003069231,0.483219826
115,bacillus_pumilus,0.000334443,0.000161376,0.000633632,5.93E-08,1.39E-09,1.69E-05,0.005823731,0.000185528,0.025793602
116,serratia_nevei,0.000463776,0.000187463,0.001052827,0.000121435,5.48E-05,0.000255007,0.350622939,0.259888033,0.444086271
117,neisseria_lactamica,0.00164624,0.000579515,0.0029271,0.000116097,6.41E-05,0.000201438,0.137609737,0.010313949,0.383583109
118,citrobacter_europaeus,0.000447325,0.000201431,0.000932736,0.000130886,6.60E-05,0.000261874,0.210923919,0.129722081,0.295275872
119,streptococcus_salivarius,0.000680621,0.000157412,0.001633176,8.81E-05,3.05E-05,0.000226816,0.377305021,0.06640128,0.607956193
120,nocardia_cyriacigeorgica,0.000229562,0.00014349,0.000388472,4.73E-08,1.85E-09,8.08E-07,0.004031284,0.000189526,0.016268009
121,limosilactobacillus_reuteri,0.000459118,8.65E-05,0.001944638,7.85E-05,2.34E-08,0.000636344,0.243844663,0.014877524,0.56000178
122,acinetobacter_pittii,0.000755362,0.000204077,0.001609345,5.92E-05,1.23E-07,0.000218357,0.190923006,0.00835282,0.440559428
123,enterobacter_asburiae,0.000456319,0.000184223,0.001024178,0.000248671,9.76E-05,0.000533612,0.271789032,0.149282573,0.381398444
124,haemophilus_haemolyticus,0.003679269,1.35E-05,0.760254183,9.75E-07,1.40E-09,0.000711986,0.495500018,0.023433546,0.975123041
125,citrobacter_a_sedlakii,0.000520141,0.00015743,0.001277184,0.000158485,6.60E-05,0.000353172,0.23635179,0.152760476,0.322003651
126,vibrio_diabolicus,0.000451967,0.000142842,0.00114094,0.000131184,2.35E-09,0.000715492,0.225788436,0.008093176,0.456010748
127,bordetella_holmesii,1.05E-05,1.02E-05,1.28E-05,2.40E-09,1.15E-09,1.86E-08,0.000523633,9.59E-05,0.001387693
128,pseudoalteromonas_nigrifaciens,1.68E-05,1.01E-05,5.80E-05,4.10E-09,1.06E-09,1.77E-07,0.001534115,6.24E-05,0.007289176
129,enterobacter_sichuanensis,0.000462254,0.000205871,0.000991215,0.000263305,0.000152997,0.000446665,0.343145282,0.265123935,0.420548991
130,pseudomonas_e_amygdali,0.000493025,0.00015944,0.00131431,0.000231376,5.50E-05,0.000629204,0.343659418,0.10652844,0.496078547
131,synechocystis_sp000284455,2.19E-05,1.14E-05,4.59E-05,3.38E-09,1.07E-09,6.04E-08,0.028384863,0.014503067,0.041258733
132,lacticaseibacillus_rhamnosus,0.038876676,0.007316197,0.072538948,0.000425519,0.000162938,0.000781274,0.09823265,0.004277131,0.403996984
133,tenacibaculum_finnmarkense_a,0.000538,0.000143632,0.001633237,0.00013334,7.86E-06,0.000663073,0.444891249,0.001724469,0.630166726
134,nitratidesulfovibrio_vulgaris,5.70E-05,2.83E-05,0.000102432,5.49E-09,1.08E-09,2.21E-07,0.004668445,0.000299221,0.019412253
135,burkholderia_ambifaria,0.000452444,0.000203231,0.000963239,0.000293157,0.000114124,0.000645886,0.227348402,0.076299221,0.359825832
